listener,date,sTime,tracking,trial,targets,SNR,adj_SNR,OutLevelChange,manipulation,lateralized,ITD,masker,wave,V,C,response,correct,rTime,rev
L01,03-Jul-2017,16:50:07,50,1,VCV_KM&TG,-10.0,-10.3, +0.0,inverted,noise, +0.0,SpNz44100,IM_I04_KM,I,M,L,0,16:50:12
L01,03-Jul-2017,16:50:07,50,2,VCV_KM&TG, +0.0, +1.9, +0.0,inverted,noise, +0.0,SpNz44100,AN_A04_KM,A,N,N,1,16:50:15
L01,03-Jul-2017,16:50:07,50,3,VCV_KM&TG,-10.0, -5.9, +0.0,inverted,noise, +0.0,SpNz44100,UB_U01_KM,U,B,B,1,16:50:20
L01,03-Jul-2017,16:50:07,50,4,VCV_KM&TG,-16.0, -9.1, +0.0,inverted,noise, +0.0,SpNz44100,UN_U02_TG,U,N,L,0,16:50:23
L01,03-Jul-2017,16:50:07,50,5,VCV_KM&TG,-10.0, -6.4, +0.0,inverted,noise, +0.0,SpNz44100,AV_A02_TG,A,V,V,1,16:50:26,*
L01,03-Jul-2017,16:50:07,50,6,VCV_KM&TG,-12.0,-13.9, +0.0,inverted,noise, +0.0,SpNz44100,UF_U01_TG,U,F,D,0,16:50:29,*
L01,03-Jul-2017,16:50:07,50,7,VCV_KM&TG,-10.0,-14.1, +0.0,inverted,noise, +0.0,SpNz44100,UP_U04_KM,U,P,L,0,16:50:33
L01,03-Jul-2017,16:50:07,50,8,VCV_KM&TG, -8.0, -1.6, +0.0,inverted,noise, +0.0,SpNz44100,UB_U04_TG,U,B,D,0,16:50:36
L01,03-Jul-2017,16:50:07,50,9,VCV_KM&TG, -6.0, -8.6, +0.0,inverted,noise, +0.0,SpNz44100,AP_A02_KM,A,P,K,0,16:50:40
L01,03-Jul-2017,16:50:07,50,10,VCV_KM&TG, -4.0, -6.1, +0.0,inverted,noise, +0.0,SpNz44100,AL_A02_TG,A,L,L,1,16:50:43,*
L01,03-Jul-2017,16:50:07,50,11,VCV_KM&TG, -6.0, -1.9, +0.0,inverted,noise, +0.0,SpNz44100,UM_U03_TG,U,M,L,0,16:50:46,*
L01,03-Jul-2017,16:50:07,50,12,VCV_KM&TG, -4.0, -8.6, +0.0,inverted,noise, +0.0,SpNz44100,AD_A04_KM,A,D,D,1,16:50:49,*
L01,03-Jul-2017,16:50:07,50,13,VCV_KM&TG, -6.0, -2.9, +0.0,inverted,noise, +0.0,SpNz44100,UY_U04_TG,U,Y,L,0,16:50:53,*
L01,03-Jul-2017,16:50:07,50,14,VCV_KM&TG, -4.0, +0.7, +0.0,inverted,noise, +0.0,SpNz44100,IL_I01_KM,I,L,L,1,16:50:56,*
L01,03-Jul-2017,16:50:07,50,15,VCV_KM&TG, -6.0,-10.5, +0.0,inverted,noise, +0.0,SpNz44100,IZ_I02_TG,I,Z,G,0,16:51:00,*
