AB_A01a,4
AB_A01g,4
IB_I01a,0
IB_I01g,0
UB_U01a,4
UB_U01g,4
AD_A01a,0
AD_A01g,-3
ID_I01a,-3
ID_I01g,-3
UD_U01a,-3
UD_U02g,-3
AF_A05a,-2
AF_A01g,-2
IF_I01a,2
IF_I01g,2
UF_U01a,0
UF_U01g,0
AG_A01a,-2
AG_A01g,-2
IG_I01a,2
IG_I02g,2
UG_U01a,0
UG_U01g,0
AK_A01a,-4
AK_A01g,-4
IK_I01a,0
IK_I01g,0
UK_U01a,-4
UK_U01g,-4
AL_A02a,3
AL_A01g,0
IL_I06a,3
IL_I01g,3
UL_U02a,3
UL_U01g,3
AM_A01a,3
AM_A01g,3
IM_I01a,0
IM_I01g,3
UM_U01a,3
UM_U01g,3
AN_A01a,4
AN_A01g,4
IN_I01a,4
IN_I01g,4
UN_U01a,4
UN_U01g,4
AP_A01a,4
AP_A02g,4
IP_I01a,4
IP_I01g,4
UP_U01a,6
UP_U01g,6
AV_A01a,0
AV_A01g,0
IV_I01a,0
IV_I01g,0
UV_U01a,0
UV_U01g,0
AW_A01a,0
AW_A01g,0
IW_I01a,0
IW_I01g,0
UW_U01a,2
UW_U01g,2
AY_A01a,0
AY_A01g,0
IY_I01a,2
IY_I01g,2
UY_U01a,0
UY_U01g,0
AZ_A01a,-3
AZ_A01g,-3
IZ_I01a,-3
IZ_I01g,-3
UZ_U01a,-3
UZ_U01g,-3
